time	        ay (m/s^2)
3,725329	-3,7319
3,730139	-3,4178
3,736713	-2,9629
3,73995	        -2,5874
3,744625	-2,2288
3,749344	-1,8299
3,754396	-1,4049
3,759214	-0,9468
3,773792	-0,4696
3,774709	0,3969
3,778861	0,7508
3,783303	1,0806
3,788963	1,3408
3,792815	1,4288
3,797884	1,3996
3,802943	1,3539
3,807733	1,2965
3,812245	1,2129
3,816709	1,1032
3,821719	0,9699
3,826226	0,8225
3,830895	0,7231
3,836772	0,6741
3,840886	0,6442
3,845836	0,6001
3,853935	0,5441
3,85525	        0,4666
3,860037	0,3749
3,864816	0,2785
3,874088	0,1607
3,874745	0,0359
3,881844	-0,1031
3,889279	-0,2443
3,895385	-0,4976
3,899474	-0,5904
3,904055	-0,6687
3,908382	-0,7253
3,912718	-0,7651
3,92013	        -0,7857
3,922449	-0,7655
3,926998	-0,7096
3,931574	-0,6345
3,93641	        -0,5475
3,941331	-0,4631
3,946291	-0,3739
3,95342	        -0,268
3,956652	-0,1408
3,960643	-0,0208
3,965263	0,0608
3,970253	0,1184
3,975062	0,2238
3,979812	0,7619
3,989099	0,7686
3,990011	0,1966
3,994351	0,1084
3,999327	0,1709
4,008908	0,231
4,013498	0,2886
4,022704	0,2625
4,02364	        0,2436
4,028074	0,2342
4,032586	0,2417
4,039347	0,2562
4,042397	0,2277
4,047551	0,1921
4,056224	0,1397
4,057203	0,0898
4,061823	0,1284
4,066271	0,1885
4,078849	0,2103
4,079973	0,2344
4,080866	0,2848
4,098171	0,3303
4,09889	        0,371
4,099216	0,4189
4,100194	0,4523
4,108328	0,4976
4,109695	0,5428
4,114343	0,545
4,121345	0,528
4,12886	        0,499
4,133221	0,439
4,138885	0,4029
4,143124	0,3478
4,14792	        0,2879
4,157178	0,2306
4,157975	0,1804
4,165107	0,1447
4,167036	0,109
4,172743	0,0902
4,176733	0,0833
4,181689	0,0669
4,187802	0,0529
4,191034	0,0533
4,196708	0,0656
4,204575	0,0803
4,205713	0,1046
4,210233	0,1407
4,214924	0,1744
4,221352	0,1984
4,224771	0,2296
4,229404	0,2463
4,234037	0,2606
4,239618	0,2753
4,248935	0,2945
4,257997	0,3231
4,258721	0,3301
4,265076	0,3228
4,277653	0,3298
4,278339	0,3558
4,278696	0,3721
4,282111	0,3835
4,288052	0,3854
4,291992	0,3753
4,296634	0,3678
4,304399	0,3555
4,306253	0,3553
4,310935	0,3574
4,315698	0,3404
4,322004	0,3402
4,325522	0,3519
4,330283	0,3659
4,338475	0,3773
4,339956	0,3696
4,344499	0,3525
4,349568	0,3426
4,354733	0,3257
4,35912	        0,2994
4,375	        0,2851
4,375659	0,2711
4,382205	0,2666
4,382774	0,2598
4,389838	0,246
4,3928	        0,2347
4,397964	0,2258
4,404522	0,2076
4,406931	0,1943
4,411644	0,1811
4,416669	0,1894
4,421789	0,1952
4,426138	0,2129
4,43091	        0,228
4,438145	0,2287
4,440668	0,2365
4,445161	0,2443
4,449946	0,2567
4,455177	0,2548
4,459814	0,2315
4,464524	0,2084
4,474323	0,1974
4,474925	0,1983
4,48117	        0,2064
4,488785	0,2262
4,493289	0,2364
4,498402	0,2417
4,504356	0,2588
4,507528	0,2663
4,512265	0,2642
4,516886	0,2693
4,522274	0,2648
4,526635	0,2413
4,531411	0,2228
4,538127	0,2092
4,541237	0,2004
4,545738	0,1941
4,550811	0,1878
4,555657	0,1935
4,56043	        0,2086
4,565106	0,2117
4,575097	0,2029
4,575775	0,1871
4,582182	0,1856
4,585102	0,1912
4,593898	0,2016
4,594891	0,1999
4,600548	0,1817
4,608507	0,1778
4,613346	0,1811
4,618687	0,1916
